UserID,Gender,Age,Occupation,Zip-code,AvgRating,RatingStd,RatingCount,MinRating,MaxRating,FirstRatingTime,LastRatingTime,ActiveDays,Rating_1_Ratio,Rating_2_Ratio,Rating_3_Ratio,Rating_4_Ratio,Rating_5_Ratio,TopGenre1,TopGenre2,TopGenre3,Gender_Encoded,Occupation_Encoded,Genre_Romance_Count,Genre_Romance_AvgRating,Genre_Mystery_Count,Genre_Mystery_AvgRating,Genre_Children's_Count,Genre_Children's_AvgRating,Genre_Documentary_Count,Genre_Documentary_AvgRating,Genre_Horror_Count,Genre_Horror_AvgRating,Genre_Adventure_Count,Genre_Adventure_AvgRating,Genre_Action_Count,Genre_Action_AvgRating,Genre_Thriller_Count,Genre_Thriller_AvgRating,Genre_Crime_Count,Genre_Crime_AvgRating,Genre_Fantasy_Count,Genre_Fantasy_AvgRating,Genre_Drama_Count,Genre_Drama_AvgRating,Genre_Animation_Count,Genre_Animation_AvgRating,Genre_War_Count,Genre_War_AvgRating,Genre_Musical_Count,Genre_Musical_AvgRating,Genre_Film-Noir_Count,Genre_Film-Noir_AvgRating,Genre_Western_Count,Genre_Western_AvgRating,Genre_Comedy_Count,Genre_Comedy_AvgRating,Genre_Sci-Fi_Count,Genre_Sci-Fi_AvgRating
1,F,1,10,48067,4.188679245283019,0.6809666142721429,53,3,5,978300019,978824351,6.068657407407407,0.0,0.0,0.1509433962264151,0.5094339622641509,0.33962264150943394,War,Drama,Sci-Fi,0,2,6,3.6666666666666665,0,0.0,20,4.25,0,0.0,0,0.0,5,4.0,5,4.2,3,3.6666666666666665,2,4.0,3,4.0,21,4.428571428571429,18,4.111111111111111,2,5.0,14,4.285714285714286,0,0.0,0,0.0,14,4.142857142857143,3,4.333333333333333
2,M,56,16,70072,3.7131782945736433,1.001512905945397,129,1,5,978298124,978300174,0.023726851851851853,0.015503875968992248,0.08527131782945736,0.3333333333333333,0.3023255813953488,0.26356589147286824,Western,Film-Noir,Drama,1,8,24,3.7083333333333335,3,3.3333333333333335,0,0.0,0,0.0,2,3.0,19,3.736842105263158,56,3.5,31,3.4838709677419355,12,3.5833333333333335,1,3.0,79,3.8987341772151898,0,0.0,15,3.7333333333333334,0,0.0,1,4.0,3,4.333333333333333,25,3.56,17,3.588235294117647
3,M,25,15,55117,3.9019607843137254,0.9849853188912879,51,1,5,978297018,978298504,0.017199074074074075,0.0196078431372549,0.0784313725490196,0.17647058823529413,0.43137254901960786,0.29411764705882354,Western,Fantasy,Adventure,1,7,5,3.8,1,3.0,3,4.0,0,0.0,3,2.6666666666666665,25,4.0,23,3.9565217391304346,5,3.8,0,0.0,2,4.5,8,4.0,3,4.0,2,4.0,1,4.0,0,0.0,6,4.666666666666667,30,3.7666666666666666,6,3.8333333333333335
4,M,45,7,02460,4.190476190476191,1.077916862241593,21,1,5,978293924,978294282,0.004143518518518519,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.38095238095238093,0.47619047619047616,Crime,Western,Fantasy,1,18,2,4.0,0,0.0,1,4.0,0,0.0,3,4.333333333333333,6,3.8333333333333335,19,4.157894736842105,4,3.5,1,5.0,2,4.5,6,4.166666666666667,0,0.0,3,3.3333333333333335,0,0.0,0,0.0,2,4.5,0,0.0,9,3.5555555555555554
5,M,25,20,55455,3.1464646464646466,1.132699316852714,198,1,5,978241072,978246585,0.06380787037037038,0.09595959595959595,0.18181818181818182,0.30808080808080807,0.30808080808080807,0.10606060606060606,Animation,Film-Noir,Western,1,13,30,3.1,8,3.125,6,3.8333333333333335,6,3.6666666666666665,10,2.8,9,3.0,31,2.6129032258064515,39,2.8461538461538463,21,3.2857142857142856,0,0.0,104,3.0961538461538463,4,4.0,6,3.5,3,3.3333333333333335,3,4.0,1,4.0,56,3.4107142857142856,15,3.066666666666667
6,F,50,9,55117,3.9014084507042255,0.8307471607356972,71,1,5,978236075,978239019,0.034074074074074076,0.014084507042253521,0.014084507042253521,0.2676056338028169,0.4647887323943662,0.23943661971830985,Musical,Animation,Action,0,20,34,4.0,0,0.0,16,3.875,0,0.0,0,0.0,8,3.75,11,4.0,3,3.6666666666666665,2,3.0,2,3.0,22,3.727272727272727,9,4.222222222222222,5,4.0,19,4.315789473684211,0,0.0,8,3.625,32,3.75,2,3.5
7,M,35,1,06810,4.32258064516129,0.747756501105966,31,3,5,978234581,978234898,0.0036689814814814814,0.0,0.0,0.16129032258064516,0.3548387096774194,0.4838709677419355,Horror,War,Adventure,1,1,3,4.0,1,4.0,0,0.0,0,0.0,1,5.0,8,4.625,29,4.310344827586207,15,4.6,2,4.0,0,0.0,8,4.0,0,0.0,4,4.75,0,0.0,0,0.0,0,0.0,3,4.333333333333333,10,4.3
8,M,25,12,11413,3.884892086330935,0.9253212265630916,139,2,5,978228789,978247143,0.21243055555555557,0.0,0.050359712230215826,0.3381294964028777,0.28776978417266186,0.3237410071942446,Horror,Sci-Fi,Animation,1,4,30,4.066666666666666,4,3.5,3,3.0,0,0.0,1,5.0,9,3.888888888888889,36,4.027777777777778,29,4.0344827586206895,13,4.0,0,0.0,108,3.814814814814815,4,4.25,10,4.2,1,4.0,0,0.0,1,4.0,18,3.888888888888889,13,4.461538461538462
9,M,25,17,61614,3.7358490566037736,0.8200102994992292,106,2,5,978224859,978226678,0.02105324074074074,0.0,0.07547169811320754,0.27358490566037735,0.49056603773584906,0.16037735849056603,Western,Children's,War,1,9,18,3.5555555555555554,1,4.0,5,4.2,2,3.5,1,2.0,7,3.4285714285714284,20,3.5,27,3.6296296296296298,16,3.75,1,3.0,54,3.888888888888889,9,4.111111111111111,7,4.142857142857143,0,0.0,1,4.0,1,5.0,27,3.740740740740741,9,3.888888888888889
10,F,35,1,95370,4.114713216957606,0.8377398045036868,401,2,5,978224375,980638688,27.9434375,0.0,0.029925187032418952,0.20947630922693267,0.3765586034912718,0.38403990024937656,Musical,Romance,Fantasy,0,1,67,4.373134328358209,8,3.625,64,4.109375,2,4.0,19,4.0,70,4.114285714285714,81,3.9135802469135803,27,4.222222222222222,15,3.6,38,4.315789473684211,116,4.181034482758621,33,4.303030303030303,24,3.8333333333333335,37,4.4324324324324325,4,3.5,8,3.875,183,4.136612021857924,71,4.183098591549296
11,F,25,1,04093,3.2773722627737225,1.3489098376494044,137,1,5,978218913,978909052,7.987719907407407,0.16058394160583941,0.10948905109489052,0.23357664233576642,0.2846715328467153,0.2116788321167883,Crime,War,Drama,0,1,22,3.090909090909091,3,3.6666666666666665,6,1.6666666666666667,2,2.5,4,3.0,8,3.125,9,3.5555555555555554,18,3.4444444444444446,7,4.428571428571429,2,2.5,54,3.685185185185185,1,1.0,4,3.75,3,3.6666666666666665,0,0.0,1,3.0,84,3.1666666666666665,4,1.75
12,M,25,12,32793,3.8260869565217392,1.1140496934013262,23,1,5,978218568,978220273,0.019733796296296298,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.2608695652173913,0.34782608695652173,Children's,Musical,Adventure,1,4,1,3.0,1,3.0,1,5.0,0,0.0,1,3.0,3,4.666666666666667,6,3.8333333333333335,3,4.333333333333333,6,3.6666666666666665,0,0.0,12,4.333333333333333,0,0.0,1,3.0,1,5.0,1,3.0,0,0.0,7,3.2857142857142856,1,4.0
13,M,45,1,93304,3.388888888888889,0.7952350306004389,108,1,5,978201320,978202577,0.014548611111111111,0.009259259259259259,0.06481481481481481,0.5555555555555556,0.26851851851851855,0.10185185185185185,War,Drama,Sci-Fi,1,1,13,3.3076923076923075,4,3.0,12,3.3333333333333335,0,0.0,3,3.3333333333333335,75,3.3333333333333335,66,3.393939393939394,20,3.45,8,3.25,14,3.2142857142857144,22,3.8636363636363638,2,3.0,9,4.222222222222222,2,3.5,1,3.0,3,2.6666666666666665,18,3.0,37,3.5405405405405403
14,M,35,0,60126,3.32,1.4059397805975427,25,1,5,978200300,978201317,0.011770833333333333,0.16,0.12,0.2,0.28,0.24,War,Mystery,Drama,1,0,6,3.5,1,5.0,0,0.0,0,0.0,4,2.5,0,0.0,4,3.25,4,2.75,3,3.3333333333333335,0,0.0,13,3.5384615384615383,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,8,2.875,2,3.5
15,M,25,7,22903,3.3233830845771144,0.8245607906712747,201,1,5,978196103,978361393,1.9130787037037038,0.01990049751243781,0.14925373134328357,0.3383084577114428,0.472636815920398,0.01990049751243781,Animation,Musical,War,1,18,25,3.12,19,3.3157894736842106,3,3.0,0,0.0,10,2.9,23,3.1739130434782608,56,3.357142857142857,63,3.4603174603174605,32,3.21875,7,3.142857142857143,79,3.481012658227848,2,4.0,13,3.769230769230769,4,4.0,2,2.5,3,3.6666666666666665,63,3.0,18,3.2777777777777777
16,F,35,0,20670,3.0285714285714285,1.2481919697215291,35,1,5,978174188,978174795,0.007025462962962963,0.11428571428571428,0.2571428571428571,0.2571428571428571,0.22857142857142856,0.14285714285714285,Musical,Animation,Mystery,0,0,11,3.272727272727273,1,4.0,4,2.75,0,0.0,2,2.0,5,2.6,7,2.2857142857142856,5,2.8,1,1.0,0,0.0,4,3.25,4,4.25,1,2.0,1,5.0,1,3.0,2,2.0,22,3.1818181818181817,5,3.2
17,M,50,1,95350,4.075829383886256,0.8129509147538629,211,2,5,978158471,978161166,0.03119212962962963,0.0,0.04265402843601896,0.16587677725118483,0.46445497630331756,0.32701421800947866,Musical,Documentary,Animation,1,1,15,4.133333333333334,9,4.444444444444445,11,4.2727272727272725,1,5.0,20,3.75,35,4.085714285714285,63,4.0,56,4.0,22,4.136363636363637,9,4.444444444444445,69,4.144927536231884,10,4.5,12,4.5,2,5.0,12,4.333333333333333,2,4.0,33,4.333333333333333,116,4.008620689655173
18,F,18,3,95825,3.6491803278688524,1.361431008798094,305,1,5,978152203,978157434,0.06054398148148148,0.13442622950819672,0.06229508196721312,0.16721311475409836,0.29180327868852457,0.3442622950819672,Musical,Animation,Film-Noir,0,14,44,3.9318181818181817,8,4.0,78,3.858974358974359,0,0.0,7,2.857142857142857,81,3.3580246913580245,127,3.173228346456693,42,3.0476190476190474,33,3.4545454545454546,33,3.5454545454545454,103,3.9611650485436893,42,4.380952380952381,21,4.0,22,4.5,3,4.333333333333333,9,3.5555555555555554,80,3.525,44,3.4545454545454546
19,M,1,10,48073,3.5725490196078433,1.0838976096013073,255,1,5,978146700,994556636,189.92981481481482,0.043137254901960784,0.11764705882352941,0.2784313725490196,0.34509803921568627,0.21568627450980393,Crime,Film-Noir,Comedy,1,2,21,3.857142857142857,9,3.0,30,3.466666666666667,1,3.0,58,3.2586206896551726,44,3.659090909090909,99,3.6464646464646466,52,3.4038461538461537,15,4.133333333333334,8,3.625,39,3.8205128205128207,30,3.6666666666666665,10,3.6,17,3.764705882352941,1,4.0,2,2.5,74,3.8783783783783785,54,3.2222222222222223
20,M,25,14,55113,4.083333333333333,0.8297022339981067,24,2,5,978143106,1009669227,364.8856597222222,0.0,0.041666666666666664,0.16666666666666666,0.4583333333333333,0.3333333333333333,Film-Noir,War,Mystery,1,6,2,4.0,2,4.5,0,0.0,0,0.0,1,4.0,4,3.75,17,4.176470588235294,9,4.222222222222222,5,4.2,0,0.0,6,4.333333333333333,0,0.0,3,4.666666666666667,0,0.0,1,5.0,0,0.0,4,3.75,9,4.0
